x,y,N
-8.8000728,7.1999695,195
-8.8000735,7.9999603,195
-8.8000319,8.8000429,242
-8.7999877,9.6000582,242
-8.8000502,10.399922,242
-8.8000925,11.199911,285
-8.8000792,12.0,285
-8.7999548,12.800046,321
-8.7999749,13.600082,321
-8.8000626,14.400058,321
-8.8000918,15.200072,333
-8.800059,16.000009,333
-8.7999614,16.799959,333
-8.8000343,17.599988,333
-8.7999544,18.399998,352
-8.799929,19.200042,352
-8.8000146,19.999905,352
-7.9999664,-19.200029,151
-8.0000024,-18.3999,151
-8.0000535,-17.599942,151
-7.9999209,-16.800024,151
-8.0000717,-16.000077,151
-8.0000767,-15.199948,151
-8.0000999,-14.399947,139
-7.9999963,-13.599977,139
-7.999991,-12.799909,139
-8.0000421,-12.000042,139
-8.0000971,-11.200087,139
-7.9999347,-10.399947,123
-7.9999393,-9.5999077,123
-7.9999308,-8.8000258,123
-7.9999639,-8.0000416,123
-8.0000373,-7.1999999,121
-7.9999987,-6.4000683,121
-8.0000355,-5.5999938,121
-7.9999002,-4.8000828,122
-7.9999504,-3.9999378,122
-7.9999137,-3.1999184,134
-7.999968,-2.3999919,134
-7.9999584,-1.6000411,136
-7.999972,-0.79997991,136
-7.999928,9.4233015e-5,136
-7.9999051,0.80005529,136
-7.999944,1.5999953,163
-8.0000698,2.3999996,166
-7.999928,3.2000355,170
-7.9999629,4.0000693,170
-7.9999833,4.8000496,183
-8.000069,5.5999247,183
-8.0000415,6.3999318,183
-7.9999703,7.2000593,203
-7.9999198,8.0000799,203
-8.0000519,8.7999201,203
-8.0000425,9.6000632,263
-8.0000611,10.400048,263
-7.9999208,11.199974,285
-8.0000898,11.999923,285
-8.0000872,12.799949,311
-8.0000008,13.599961,311
-8.0000295,14.399964,311
-7.9999856,15.199986,333
-7.9999084,16.000054,333
-7.9999024,16.80001,333
-8.0000508,17.599934,352
-7.9999524,18.399906,352
-7.999951,19.199933,352
-8.0000824,19.999919,352
-7.200075,-19.199936,151
-7.1999139,-18.399909,151
-7.1999581,-17.600091,151
-7.2000595,-16.800076,151
-7.1999581,-16.000086,151
-7.1999354,-15.199918,151
-7.2000484,-14.399964,139
-7.2000305,-13.599945,139
-7.2000525,-12.799921,139
-7.1999564,-11.999922,139
-7.1999568,-11.199948,139
-7.2000245,-10.400001,123
-7.1999035,-9.6000862,123
